Tanggal,Terakhir
2019-11-14,6098.9502
2019-11-15,6128.3452
2019-11-18,6122.6250
2019-11-19,6152.0898
2019-11-20,6155.1089
2019-11-21,6117.3638
2019-11-22,6100.2422
2019-11-25,6070.7622
2019-11-26,6026.1880
2019-11-27,6023.0391
2019-11-28,5953.0601
2019-11-29,6011.8301
2019-12-02,6130.0552
2019-12-03,6133.8960
2019-12-04,6112.8789
2019-12-05,6152.1172
2019-12-06,6186.8682
2019-12-09,6193.7910
2019-12-10,6183.5049
2019-12-11,6180.0991
2019-12-12,6139.3970
2019-12-13,6197.3179
2019-12-16,6211.5918
2019-12-17,6244.3521
2019-12-18,6287.2500
2019-12-19,6249.9302
2019-12-20,6284.3721
2019-12-23,6305.9102
2019-12-26,6319.4429
2019-12-27,6329.3140
2019-12-30,6299.5391
2020-01-02,6283.5811
2020-01-03,6323.4658
2020-01-06,6257.4028
2020-01-07,6279.3462
2020-01-08,6225.6860
2020-01-09,6274.4932
2020-01-10,6274.9409
2020-01-13,6296.5669
2020-01-14,6325.4058
2020-01-15,6283.3652
2020-01-16,6286.0479
2020-01-17,6291.6572
2020-01-20,6245.0430
2020-01-21,6238.1528
2020-01-22,6233.4531
2020-01-23,6249.2100
2020-01-24,6244.1089
2020-01-27,6133.2080
2020-01-28,6111.1841
2020-01-29,6113.0449
2020-01-30,6057.5962
2020-01-31,5940.0479
2020-02-03,5884.1699
2020-02-04,5922.3389
2020-02-05,5978.5098
2020-02-06,5987.1450
2020-02-07,5999.6069
2020-02-10,5952.0830
2020-02-11,5954.3970
2020-02-12,5913.0811
2020-02-13,5871.9541
2020-02-14,5866.9448
2020-02-17,5867.5229
2020-02-18,5886.9619
2020-02-19,5928.7910
2020-02-20,5942.4868
2020-02-21,5882.2549
2020-02-24,5807.0498
2020-02-25,5787.1382
2020-02-26,5688.9209
2020-02-27,5535.6938
2020-02-28,5452.7041
2020-03-02,5361.2461
2020-03-03,5518.6279
2020-03-04,5650.1362
2020-03-05,5638.1299
2020-03-06,5498.5400
2020-03-09,5136.8091
2020-03-10,5220.8262
2020-03-11,5154.1050
2020-03-12,4895.7480
2020-03-13,4907.5708
2020-03-16,4690.6572
2020-03-17,4456.7490
2020-03-18,4330.6738
2020-03-19,4105.4219
2020-03-20,4194.9438
2020-03-23,3989.5171
2020-03-24,3937.6321
2020-03-26,4338.9038
2020-03-27,4545.5708
2020-03-30,4414.5000
2020-03-31,4538.9302
2020-04-01,4466.0371
2020-04-02,4531.6851
2020-04-03,4623.4292
2020-04-06,4811.8271
2020-04-07,4778.6392
2020-04-08,4626.6948
2020-04-09,4649.0791
2020-04-13,4623.8940
2020-04-14,4706.4912
2020-04-15,4625.9048
2020-04-16,4480.6069
2020-04-17,4634.8208
2020-04-20,4575.9048
2020-04-21,4501.9189
2020-04-22,4567.5620
2020-04-23,4593.5542
2020-04-24,4496.0640
2020-04-27,4513.1411
2020-04-28,4529.5542
2020-04-29,4567.3232
2020-04-30,4716.4028
2020-05-04,4605.4868
2020-05-05,4630.1328
2020-05-06,4608.7900
2020-05-08,4597.4302
2020-05-11,4639.1050
2020-05-12,4588.7339
2020-05-13,4554.3589
2020-05-14,4513.8340
2020-05-15,4507.6069
2020-05-18,4511.0581
2020-05-19,4548.6558
2020-05-20,4545.9521
2020-05-26,4626.7988
2020-05-27,4641.5552
2020-05-28,4716.1851
2020-05-29,4753.6118
2020-06-02,4847.5068
2020-06-03,4941.0059
2020-06-04,4916.7041
2020-06-05,4947.7822
2020-06-08,5070.5610
2020-06-09,5035.0552
2020-06-10,4920.6821
2020-06-11,4854.7539
2020-06-12,4880.3589
2020-06-15,4816.3359
2020-06-16,4986.4580
2020-06-17,4987.7759
2020-06-18,4925.2480
2020-06-19,4942.2749
2020-06-22,4918.8311
2020-06-23,4879.1328
2020-06-24,4964.7349
2020-06-25,4896.7300
2020-06-26,4904.0879
2020-06-29,4901.8179
2020-06-30,4905.3921
2020-07-01,4914.3882
2020-07-02,4966.7798
